,Subject,"THEME (race, identity, activism, government, entertainment, education)",Subject Name,Geographic Coverage,Photographer,Date,Year,Caption,longitude,latitude,latlng,imageurl
"Actress Dana Wynter, Los Angeles, 1960",Women $z California $z Los Angeles,Identity,"Wynter, Dana",Los Angeles (Calif.),,1960-01-01,1960,Text from newspaper caption: Floral Fountains--Mrs. Gregson Bautzer (star Dana Wynter) on of the 10 women of fashion chose by Mannequins of the Assistance League.,-118.33314,34.06595,"34.06595,-118.33314",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b428_203237-2_Wynter_Fountains_4-29-1960.jpg
"Larie Akashi pours sweat tea over Kanbutsu statue at a Hanamido ritual in Los Angeles, Calif.",Buddhism--Rituals,Identity,"Fujimura, Bunyu, 1910-","West Los Angeles (Los Angeles, Calif.)","Lindbeck, Bob",1960-01-01,1960,"GENTLE RAIN-Sweet tea, which Larie Akashi pours over Kanbutsu statue in Hanamido, or flower altar, symbolizes gentle rain which fell on baby Buddha.  The Rev. Bunyu Fujimura of West Los Angeles Buddhist Church, coaches girl.",-118.4447689,34.04006264,"34.04006264,-118.4447689",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00061401a.jpg
"Los Angeles' Union Rescue Mission's annual ""Gospel Wagon"" ride thru downtown Los Angeles, Calif., 1961",Charity organization--California--Los Angeles County,Identity,"Murchison, Hugh R.",Los Angeles (Calif.),,1961-01-01,1961,"TRADITIONAL TOUR-Hugh R. Murchison, left, president of Union Rescue Mission, is joined by group that includes Sheriff Pitchess, standing, and Police Chief Parker, second from right, in annual ride downtown in horse-drawn ""Gospel Wagon.""",-118.2427436,34.05287498,"34.05287498,-118.2427436",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00061656a.jpg
"Automobiles crowd parking lot of Garden Grove Community Church for indoor/outdoor service, Calif., 1961",Church facilities--Barrier-free design--California--Garden Grove,Identity,Garden Grove Community Church (Calif.),Garden Grove (Calif.),"Miller, Jack",1961-01-01,1961,OUTDOOR SERVICES-Automobiles crowd the parking area of the Garden Grove Community Church. Here the first indoor-outdoor services in the nation are conducted. High fidelity speakers bring the sound to the parked worshipers.,-117.901167,33.78734673,"33.78734673,-117.901167",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00061572a.jpg
"Blessing of the animals, Rev. Bernard O'Connor, pastor Old San Gabriel Mission, Calif., 1962",Catholic Church--Liturgy,Identity,"Mission San Gabriel Arcangel (San Gabriel, Calif.)",San Gabriel (Calif.),,1962-01-01,1962,"BLESSING OF ANIMALS-The Rev. Bernard O'Connor, CMF, pastor of the Old San Gabriel Mission, shows how he will bless the animals during the fiesta to start Friday.  Cynthia Salazar holds her kitten up for the blessing as many others will do.",-118.10659,34.096857,"34.096857,-118.10659",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00061599a.jpg
"Mrs.Fujimura, wife of pastor of West L.A. Buddhist Church, conducts tea ceremony, 1962",Festivals--California--Los Angeles County,Identity,"West Los Angeles Buddhist Church (Los Angeles, Calif.)","West Los Angeles (Los Angeles, Calif.)","Cooper, Gil",1962-01-01,1962,"ANCIENT CUSTOM-Mrs. Bunyo Fujimura, left, wife of pastor of West Los Angeles Buddhist Church, conducts tea ceremony, one of festival features, with guests, from right: Mrs. K. Nishi, Mrs. T. H. Kawakami, Miss Takako Ikeda.",-118.4448159,34.04001819,"34.04001819,-118.4448159",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00061584a.jpg
"Building contractor Sarah Jane Lapin sitting with her daughters at home she built in Los Angeles, Calif., 1964",Mothers and daughters,Identity,"Lapin, Sarah Jane",Los Angeles (Calif.),,1964-01-01,1964,"THIS IS THE HOUSE (among others) that Sarah Jane Lapin build after parlaying a night school course into new career as a building contractor. Daughters are Claudia, 12, and Nancy, 17, pictured from the left.",-118.5143682,34.02707721,"34.02707721,-118.5143682",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167784a.jpg
"Crowd encircling casket and hearse at funeral of singer Sam Cooke in Los Angeles, Calif., 1964",African American singers,Identity,"Cooke, Sam--Death and burial",Los Angeles (Calif.),,1964-01-01,1964,SLOW PROGRESS-It took pallbearers (center) 40 minutes to make way with casket through throngs to hearse after funeral services for singer Sam Cooke.,-118.3191329,34.032441,"34.032441,-118.3191329",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326259a.jpg
"L. Pyle and Nonna Walls examine a print out of ""Miss Formula"", a computer created rendering of the ""perfect female,"" Calif., 1964",Femininity in popular culture--United States,Identity,"Walls, Nonna",Los Angeles (Calif.),,1964-01-01,1964,"PERFECTION?-James L. Pyle and Nonna Walls examine Miss Formula, a computer-created drawing resulting from a list of ""perfect female statistics",-118.2538801,34.04949485,"34.04949485,-118.2538801",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167930a.jpg
"Boy kneeling at altar in chapel at the LeRoy Boys Home in La Verne, Calif., 1964",Child welfare--California--Los Angeles County,Identity,"LeRoy Boys Home (La Verne, Calif.)",Los Angeles (Calif.),,1964-01-01,1964,"NEW CHAPEL-A youthful resident pauses for a moment of prayer in the new $50,000 chapel at the LeRoy Boys' Home in La Verne. Chapel seats 225.",-117.753324,34.120785,"34.120785,-117.753324",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167897a.jpg
"Dr. Joseph Young with his mosaic mural ""The Family and Center Life""  at Valley Cities Jewish Community Center, Calif., 1964",Muralists (painters)--California--Los Angeles County,Identity,"Young, Joseph, 1919-","Van Nuys (Los Angeles, Calif.)",,1964-01-01,1964,"MOSAIC MURAL-Dr. Joseph Young has created a mosaic mural depicting ""The Family and Center Life"" for the front wall of Valley Cities Jewish Community Center in Van Nuys. The work and other major edifices will be dedicated Sunday, Jan. 19, at 3:30 p.m. The 8x10 ft. mural represents 3 months work.",-118.4202576,34.17161849,"34.17161849,-118.4202576",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167775a.jpg
"Joan A. Merriam Smith loading plane in preparation for solo around the world flight, Calif., 1964",Flights around the world,Identity,"Smith, Joan A. Merriam, d.1965",Long Beach (Calif.),,1964-01-01,1964,"GOOD LUCK CHARM-Joan A. Merriam holds good luck teddy bear as she prepares for Oakland take off on her round-the-world 27,000-mile flight.",-122.2130026,37.7125281,"37.7125281,-122.2130026",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167821a.jpg
"Lorraine Turnbull Foster, first woman to earn Ph.D. in math at Caltech, 1964",Women mathematicians--California--Los Angeles County,Identity,"Foster, Lorraine L.",Pasadena (Calif.),,1964-01-01,1964,"BRAINS PAY OFF-Mrs. Lorraine Turnbull Foster, first woman to earn Ph.D. in math at Caltech, points out mysterious (to some) equations on blackboard.",-118.125118,34.13845789,"34.13845789,-118.125118",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167882a.jpg
"Author Betty Friedan and Mary E. Tingloff at UCLA Extension conference, 1964","Women authors, American",Identity,"Tingloff, Mary E.","Westwood (Los Angeles, Calif.)",,1964-01-01,1964,BETTY FRIEDAN AND MARY E. TINGLOFF 挞夆洛_ speakers at education conference.,-118.2600331,34.05004599,"34.05004599,-118.2600331",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167814a.jpg
"Memorial ceremony for the 50th Anniversary of the Armenian Massacre at Los Angeles City Hall, 1965",Memorials--California--Los Angeles County,Identity,,Los Angeles (Calif.),,1965-01-01,1965,COMMEMORATION-Survivors and relatives of survivors of the 1915 Armenian massacre by Turkish troops gather with black wreath at Los Angeles City Hall.,-118.2431547,34.05394277,"34.05394277,-118.2431547",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168246a.jpg
"Las Posadas festivities on Olvera Street, Los Angeles (Calif.)",Pinatas,Identity,,"Olvera Street (Los Angeles, Calif.)",,1966-01-01,1966,,-118.2377332,34.05673942,"34.05673942,-118.2377332",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012662a.jpg
"Filipino folk dancers performing tinikling dance on steps of Los Angeles City Hall, 1966",Filipino Americans--California--Los Angeles County,Identity,,Los Angeles (Calif.),"Carrick, Jack",1966-01-01,1966,"A JULY FOURTH QUICK-STEP-Filipino folk dancers entertain crowd at the City Hall with the Tinikling in which they step in and out of bamboo poles being slammed together at a rapid rhythm. The dance was part of the celebration of Philippine independence day, which also falls on the Fourth of July.",-118.2430387,34.05327277,"34.05327277,-118.2430387",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325999a.jpg
"Muhammad's Mosque raided by police, Los Angeles (Calif.)",African Americans--Religion,Identity,,Los Angeles (Calif.),,1967-01-01,1967,,-118.2781877,33.991208,"33.991208,-118.2781877",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012670a.jpg
"Muhammad's Mosque of Islam No. 27, Los Angeles, 1967",Police raids $z California $z Los Angeles,Identity,Los Angeles (Calif.). Police Dept.,Los Angeles (Calif.),,1967-01-01,1967,Text from newspaper caption: Scene of Police Raid--Muhammad's Mosque at 5606 S. Broadway which was raided at dawn by police.,-118.2782535,33.99122415,"33.99122415,-118.2782535",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_b600_236967_Muhammad_Mosque.jpg
"John G. Amarantos holding up wooden cross he recovered from the ocean during Greek Orthodox rite in Long Beach, Calif., 1967",Orthodox Eastern Church--Rites and ceremonies--California--Long Beach,Identity,,Long Beach (Calif.),"Cormier, Don",1967-01-01,1967,"MODERN TOUCH TO ANCIENT RITE--The Rt. Rev. Bishop Demetrios of the Greek Orthodox Church drops a small wooden cross from helicopter into Long Beach's Rainbow Lagoon and it is recovered by John G. Amarantos, 31, one of five swimmers braving the 48-degree water. Amarantos received a special blessing for his feat. The rite commemorates the baptism of Jesus by John the Baptist in River Jordan.",-118.1898451,33.76318322,"33.76318322,-118.1898451",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326021a.jpg
Altar of the Hompa Hongwanji Buddhist Temple in Los Angeles (Calif.),"Temples, Buddhist--California--Los Angeles",Identity,"Masuoka, Ryuei, 1908-",Los Angeles (Calif.),,1969-01-01,1969,,-118.2344234,34.04908593,"34.04908593,-118.2344234",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012703a.jpg
"Members of Los Angeles' St. John's Episcopal Church at church door where a sign states ""Closed for Duration of the War,"" 1970","Vietnam War, 1961-1975--Protest movements--California--Los Angeles County",Identity,"St. John's Episcopal Church (Los Angeles, Calif.)",Los Angeles (Calif.),"Rogers, Art",1970-01-01,1970,"SYMBOLIC CLOSING--St. John's Episcopal Church members pass front door, closed for duration of U.S. role in Indochina.",-118.2754478,34.02769629,"34.02769629,-118.2754478",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00283102a.jpg
"Bethune Junior High School students wearing ethnic African garb during Black History Week in Los Angeles, Calif., 1970",Junior high school students--California--Los Angeles County,Identity,"Bethune Middle School (Los Angeles, Calif.)--Students",Los Angeles (Calif.),"Malmin, John",1970-01-01,1970,"HISTORY OBSERVANCE--Students at Bethune Junior High School, 155 W. 69th St., wear Afro style clothing Monday during observance of Afro-American Week, an outgrowth of Negro History Week. At left is Principal Norman Mathers, also wearing Afro garb. Special events of week include a Swahili lesson over the intercom, a fashion show, Afro dancing show, a soul food banquet and visits by celebrities.",-118.276522,33.97712,"33.97712,-118.276522",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00282943a.jpg
"Library aide reading book in Spanish to group of Mexican American children at East Los Angeles County Library, 1970",Mexican Americans and libraries--California--Los Angeles,Identity,Los Angeles County Public Library,East Los Angeles (Calif.),"Whitney, Fitzgerald",1970-01-01,1970,"GETTING TO KNOW YOU--Mexican-American children hear a story in Spanish in the East Los Angeles County Library. Library aide, Miss Yolanda Gallardo, reading to the children, is among those involved in a project to make the library a place the children from the barrios can enjoy.",-118.1597802,34.03380356,"34.03380356,-118.1597802",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00282974a.jpg
"Crowd waving Israeli flags during rally at the Hollywood Palladium in Los Angeles, Calif., 1973","Israel-Arab War, 1973--Foreign public opinion, American",Identity,,Los Angeles (Calif.),"Whitney, Fitzgerald",1973-01-01,1973,A DEMONSTRATION OF SUPPORT--Crowd with flags and banners displays backing for Israel during a rally at the Hollywood Palladium.,-118.3242881,34.09846141,"34.09846141,-118.3242881",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328190a.jpg
"Reverend Patrick Joseph performing a Catholic mass, Pacific State Hospital, Pomona, 1974",Priests,Identity,"Pacific State Hospital (Pomona, Calif.)",Pomona (Calif.),,1974-01-01,1974,Text from newspaper caption: Catholic Mass--The Rev. Patrick Joseph Crowley lifts the chalice during mass at Pacific State Hospital.,-117.8109553,34.04624524,"34.04624524,-117.8109553",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b734_neg278026-5_frame36.jpg
"Buddhist priest Tri Sanh leading Vietnamese refugees in prayer at Camp Pendleton, Calif., 1975",Refugee camps--California--San Diego County,Identity,,Camp Pendleton (Calif.),"Yaro, Boris",1975-01-01,1975,ECHOES OF THEIR HOMELAND--Buddhist priest Tri Sanh leads refugees in Camp Pendleton service.,-117.373547,33.233315,"33.233315,-117.373547",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328162a.jpg
"Outdoor nursing class for deaf students at Los Angeles Trade Technical College, Los Angeles, 1976",College teachers--California--Los Angeles County,Identity,"Los Angeles Trade Technical College (Los Angeles, Calif.)",Los Angeles (Calif.),"Murphy, William S.",1976-01-01,1976,"Text from newspaper caption: Nursing class for the deaf--Vocational nursing class at L.A. Trade Tech: From left, assistant instructor Katherine Carlson, Charlotte Friedman, Adrianne Riley, Koni Battad, Lana Swearington, Genevieve Baldwin, instructor Ronnie Fisher and interpretor Darryl Allen.",-118.2696062,34.03163954,"34.03163954,-118.2696062",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/c1429_b785_283241-J_sleeve3_frame7.jpg
"Dedication of Vietnamese Buddhist temple in Los Angeles, Calif., 1976","Temples, Buddhist--California--Los Angeles County",Identity,,Los Angeles (Calif.),"Gladstone, Penni",1976-01-01,1976,AN AMERICAN GATHERING--Buddhist monks and representatives of other religions and countries joined Vietnamese Buddhists Sunday as they dedicated their first American temple.,-118.2945116,34.05613498,"34.05613498,-118.2945116",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329836a.jpg
"Mexican nationals outside Federal Building waiting for opening of immigration office in Los Angeles, Calif., 1977",Deportations--United States,Identity,,United States--Emigration and immigration,"Yaro, Boris",1977-01-01,1977,WAITING FOR PERMITS--Mexican nationals gather at Federal Building to await opening of immigration office. They are seeking special orders which will allow them to remain in the United States without threat of deportation pending outcome of court action.,-118.2399863,34.05393944,"34.05393944,-118.2399863",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328988a.jpg
